tool,formula,variables,formula_id,output,time
all,(G(Fp1|!p0)&G(p3|!p1)&(((p2&Gp3)WF(G!p1&p0))WF(p2&Fp0))&G(G(p2|!p3)|!p2)),#p#q#r#s,33,DIFF,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s))))))) && (((<>(((r) && (<>(p))))) || ([]((((([](r)) && ([](s)))) || (<>(((p) && ([](!q))))))))))),#p#q#r#s,33,TIMEOUT,300.0
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s))))))) & (((F(((r) & (F(p))))) | (G(((((G(r)) & (G(s)))) | (F(((p) & (G(!q))))))))))),#p#q#r#s,33,SAT,0.03
all,((((p2&Gp3)WF(G!p1&p0))|X(!p2&F(p2&Fp1)))&G(Fp1|!p0)&G(p3|!p1)&G(G(p2|!p3)|!p2)),#p#q#r#s,34,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s))))))) && ((((([](r)) && ([](s)))) || (<>(((p) && ([](!q))))) || (X(((!r) && (<>(((r) && (<>(q))))))))))),#p#q#r#s,34,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s))))))) & (((((G(r)) & (G(s)))) | (F(((p) & (G(!q))))) | (X(((!r) & (F(((r) & (F(q))))))))))),#p#q#r#s,34,SAT,0.03
all,(G(Fp1|!p0)&G(p3|!p1)&G(G(p2|!p3)|!p2)&((p3&p2)|(p2&Fp0))),#p#q#r#s,35,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((!q) || (s)))) && (((((r) && (s))) || (((r) && (<>(p)))))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,35,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (((((r) & (s))) | (((r) & (F(p)))))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,35,SAT,0.02
all,(G(Fp1|!p0)&G(p3|!p1)&((Fp3&p2)WF(p2&p0))&G(G(p2|!p3)|!p2)),#p#q#r#s,36,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && (((<>(((p) && (r)))) || ((([](r)) && ([](<>(s))))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,36,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (((F(((p) & (r)))) | (((G(r)) & (G(F(s))))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,36,SAT,0.02
